"POLÍCIA RODOVIÁRIA FEDERAL
LOCAIS COM FISCALIZAÇÃO DE
VELOCIDADE POR RADAR PORTÁTIL
(Resolução 798/20 do CONTRAN)",,,
,,,
,,,
ESTADO (UF),RODOVIA (BR),KM INICIAL,KM FINAL
BA,116,"750,0","760,0"
BA,116,"760,0","770,0"
BA,116,"770,0","780,0"
BA,116,"800,0","810,0"
BA,116,"810,0","820,0"
BA,116,"820,0","830,0"
BA,116,"830,0","840,0"
BA,116,"840,0","850,0"
BA,116,"850,0","860,0"
BA,116,"860,0","870,0"
BA,116,"870,0","880,0"
BA,116,"880,0","890,0"
BA,116,"910,0","920,0"
BA,116,"920,0","930,0"
BA,116,"930,0","940,0"
BA,135,"140,0","150,0"
BA,135,"160,0","170,0"
BA,135,"184,0","194,0"
BA,242,"160,0","170,0"
BA,242,"170,0","180,0"
BA,242,"180,0","190,0"
BA,242,"200,0","210,0"
BA,242,"210,0","220,0"
BA,242,"220,0","230,0"
BA,242,"230,0","240,0"
BA,242,"240,0","250,0"
BA,242,"250,0","260,0"
BA,242,"300,0","310,0"
BA,242,"310,0","320,0"
BA,242,"320,0","330,0"
BA,242,"340,0","350,0"
BA,242,"390,0","400,0"
BA,242,"400,0","410,0"
BA,242,"410,0","420,0"
BA,242,"420,0","430,0"
BA,242,"510,0","520,0"
BA,242,"520,0","530,0"
BA,242,"550,0","560,0"
BA,242,"560,0","570,0"
BA,242,"570,0","580,0"
BA,242,"580,0","590,0"
BA,242,"590,0","600,0"
BA,242,"630,0","640,0"
BA,242,"640,0","650,0"
BA,242,"650,0","660,0"
BA,242,"730,0","740,0"
BA,242,"750,0","760,0"
BA,242,"760,0","770,0"
BA,242,"780,0","790,0"
BA,242,"790,0","800,0"
BA,242,"800,0","810,0"
BA,242,"810,0","820,0"
BA,242,"820,0","830,0"
BA,242,"827,0","837,0"
BA,242,"830,0","840,0"
BA,242,"837,0","847,0"
BA,242,"840,0","850,0"
BA,242,"847,0","857,0"
BA,242,"850,0","860,0"
BA,242,"857,0","867,0"
BA,242,"860,0","870,0"
BA,242,"867,0","877,0"
BA,242,"877,0","887,0"
BA,242,"887,0","897,0"
BA,242,"897,0","907,0"
BA,324,"0,0","8,7"
BA,324,"330,0","340,0"
BA,324,"340,0","350,0"
BA,324,"350,0","360,0"
BA,324,"360,0","370,0"
BA,324,"370,0","380,0"
BA,324,"390,0","400,0"
BA,324,"406,0","416,0"
BA,324,"420,0","430,0"
BA,324,"470,0","480,0"
BA,324,"512,5","520,0"
BA,324,"520,0","530,0"
BA,324,"530,0","540,0"
BA,324,"540,0","550,0"
BA,324,"550,0","560,0"
BA,324,"570,0","580,0"
BA,324,"600,0","610,0"
BA,324,"610,0","620,0"
BA,324,"620,0","628,3"
BA,330,"790,0","800,0"
BA,330,"800,0","810,0"
BA,330,"810,0","820,0"
BA,349,"870,0","880,0"
BA,349,"880,0","890,0"
BA,349,"900,0","910,0"
BA,349,"910,0","920,0"
BA,367,"20,0","30,0"
BA,367,"30,0","40,0"
BA,367,"40,0","50,0"
BA,367,"50,0","60,0"
BA,367,"70,0","80,0"
BA,407,"60,0","70,0"
BA,407,"90,0","100,0"
BA,407,"120,0","130,0"
BA,407,"130,0","140,0"
BA,407,"140,0","150,0"
BA,407,"150,0","160,0"
BA,407,"175,0","185,0"
BA,407,"189,0","199,0"
BA,407,"201,0","211,0"
BA,407,"215,0","225,0"
BA,410,"0,0","10,0"
BA,410,"10,0","20,0"
BA,410,"20,0","30,0"
BA,415,"17,0","27,0"
BA,415,"27,0","32,0"
BA,415,"47,3","50,0"
BA,415,"50,0","60,0"
BA,418,"50,0","60,0"
BA,418,"70,0","80,0"
BA,418,"80,0","90,0"
BA,418,"90,0","100,0"
CE,020,"180,0","190,0"
CE,020,"190,0","200,0"
CE,020,"200,0","210,0"
CE,020,"210,0","220,0"
CE,020,"220,0","230,0"
CE,020,"230,0","240,0"
CE,020,"280,0","290,0"
CE,020,"280,0","290,0"
CE,020,"300,0","310,0"
CE,020,"300,0","310,0"
CE,020,"310,0","320,0"
CE,020,"310,0","320,0"
CE,020,"320,0","330,0"
CE,020,"330,0","340,0"
CE,020,"340,0","350,0"
CE,020,"350,0","360,0"
CE,020,"370,0","380,0"
CE,020,"380,0","390,0"
CE,020,"390,0","400,0"
CE,020,"400,0","406,6"
CE,020,"400,0","406,6"
CE,116,"0,0","10,0"
CE,116,"10,0","20,0"
CE,116,"20,0","30,0"
CE,116,"30,0","40,0"
CE,116,"40,0","50,0"
CE,116,"50,0","60,0"
CE,116,"60,0","70,0"
CE,116,"70,0","80,0"
CE,116,"120,0","130,0"
CE,116,"140,0","150,0"
CE,116,"150,0","160,0"
CE,116,"160,0","170,0"
CE,116,"170,0","180,0"
CE,116,"180,0","190,0"
CE,116,"190,0","200,0"
CE,116,"200,0","210,0"
CE,116,"300,0","310,0"
CE,116,"310,0","320,0"
CE,116,"320,0","330,0"
CE,116,"330,0","340,0"
CE,116,"340,0","350,0"
CE,116,"370,0","380,0"
CE,116,"380,0","390,0"
CE,116,"390,0","400,0"
CE,116,"440,0","450,0"
CE,116,"450,0","460,0"
CE,116,"460,0","470,0"
CE,116,"470,0","480,0"
CE,116,"480,0","490,0"
CE,116,"490,0","500,0"
CE,116,"500,0","510,0"
CE,222,"0,0","5,4"
CE,222,"11,4","20,0"
CE,222,"20,0","30,0"
CE,222,"30,0","40,0"
CE,222,"40,0","50,0"
CE,222,"50,0","60,0"
CE,222,"60,0","70,0"
CE,222,"70,0","80,0"
CE,222,"110,0","120,0"
CE,222,"160,0","170,0"
CE,222,"200,0","210,0"
CE,222,"220,0","230,0"
CE,222,"300,0","310,0"
CE,222,"310,0","320,0"
CE,222,"320,0","330,0"
CE,304,"30,0","40,0"
CE,304,"40,0","50,0"
CE,304,"50,0","60,0"
CE,304,"60,0","70,0"
CE,304,"70,0","80,0"
DF,020,"0,0","10,0"
DF,020,"10,0","20,0"
DF,020,"20,0","30,0"
DF,020,"30,0","40,0"
DF,020,"30,0","40,0"
DF,020,"50,0","58,8"
DF,040,"0,0","8,4"
DF,060,"0,0","10,0"
DF,060,"20,0","30,0"
DF,060,"40,0","50,0"
DF,070,"0,0","10,0"
DF,070,"10,0","19,8"
DF,080,"0,0","10,0"
DF,080,"10,0","20,0"
DF,080,"20,0","30,0"
DF,251,"30,0","40,0"
DF,251,"40,0","50,0"
DF,251,"50,0","60,0"
ES,101,"30,0","40,0"
ES,101,"40,0","50,0"
ES,101,"50,0","60,0"
ES,101,"60,0","70,0"
ES,101,"70,0","80,0"
ES,101,"80,0","90,0"
ES,101,"200,0","210,0"
ES,101,"280,0","290,0"
ES,101,"290,0","300,0"
ES,101,"300,0","310,0"
ES,101,"320,0","330,0"
ES,101,"330,0","340,0"
ES,101,"340,0","350,0"
ES,101,"350,0","360,0"
ES,101,"360,0","370,0"
ES,101,"420,0","430,0"
ES,101,"430,0","440,0"
ES,259,"60,0","70,0"
ES,259,"70,0","80,0"
ES,262,"0,0","1,3"
ES,262,"7,1","10,0"
ES,262,"10,0","20,0"
ES,262,"20,0","30,0"
ES,262,"40,0","50,0"
ES,262,"50,0","60,0"
ES,262,"100,0","110,0"
ES,262,"170,0","180,0"
ES,101,"0,0","10,0"
ES,101,"10,0","20,0"
ES,101,"20,0","30,0"
ES,101,"110,0","120,0"
ES,101,"120,0","130,0"
ES,101,"130,0","140,0"
ES,101,"140,0","150,0"
ES,101,"150,0","160,0"
ES,101,"180,0","190,0"
ES,101,"190,0","200,0"
ES,101,"210,0","220,0"
ES,101,"230,0","240,0"
ES,101,"240,0","250,0"
ES,101,"250,0","260,0"
ES,101,"260,0","270,0"
ES,101,"270,0","280,0"
ES,101 (Contorno Mestre Álvaro),"0,0","10,0"
ES,101 (Contorno Mestre Álvaro),"10,0","18,6"
GO,020,"10,0","20,0"
GO,020,"30,0","40,0"
GO,020,"40,0","50,0"
GO,020,"180,0","190,0"
GO,020,"240,0","250,0"
GO,040,"0,0","10,0"
GO,040,"10,0","20,0"
GO,040,"20,0","30,0"
GO,040,"30,0","40,0"
GO,040,"40,0","50,0"
GO,040,"60,0","70,0"
GO,040,"80,0","90,0"
GO,040,"100,0","110,0"
GO,050,"130,0","140,0"
GO,050,"140,0","150,0"
GO,050,"250,0","260,0"
GO,050,"260,0","270,0"
GO,050,"270,0","280,0"
GO,050,"280,0","290,0"
GO,050,"290,0","300,0"
GO,050,"300,0","310,0"
GO,050,"310,0","314,2"
GO,060,"10,0","20,0"
GO,060,"30,0","40,0"
GO,060,"40,0","50,0"
GO,060,"50,0","60,0"
GO,060,"60,0","70,0"
GO,060,"70,0","80,0"
GO,060,"80,0","90,0"
GO,060,"90,0","100,0"
GO,060,"100,0","110,0"
GO,060,"110,0","120,0"
GO,060,"130,0","140,0"
GO,060,"162,1","170,0"
GO,060,"170,0","180,0"
GO,060,"180,0","190,0"
GO,060,"200,0","210,0"
GO,060,"250,0","260,0"
GO,060,"300,0","310,0"
GO,060,"310,0","320,0"
GO,060,"320,0","330,0"
GO,060,"350,0","360,0"
GO,060,"360,0","370,0"
GO,060,"370,0","380,0"
GO,060,"380,0","390,0"
GO,060,"410,0","420,0"
GO,060,"450,0","460,0"
GO,060,"460,0","470,0"
GO,070,"0,0","10,0"
GO,070,"10,0","20,0"
GO,070,"20,0","30,0"
GO,070,"30,0","40,0"
GO,070,"300,0","310,0"
GO,070,"310,0","320,0"
GO,070,"320,0","330,0"
GO,070,"400,0","410,0"
GO,070,"440,0","450,0"
GO,080,"0,0","10,0"
GO,153,"40,0","50,0"
GO,153,"60,0","70,0"
GO,153,"70,0","80,0"
GO,153,"80,0","90,0"
GO,153,"130,0","140,0"
GO,153,"170,0","180,0"
GO,153,"180,0","190,0"
GO,153,"190,0","200,0"
GO,153,"200,0","210,0"
GO,153,"220,0","230,0"
GO,153,"230,0","240,0"
GO,153,"300,0","310,0"
GO,153,"340,0","350,0"
GO,153,"390,0","400,0"
GO,153,"400,0","410,0"
GO,153,"410,0","420,0"
GO,153,"420,0","430,0"
GO,153,"430,0","440,0"
GO,153,"490,4","500,0"
GO,153,"500,0","510,0"
GO,153,"510,0","520,0"
